เลขที่ลำดับ,Transaction ID,ชื่อ นามสกุล,ที่อยู่,หมายเลขบัตรประชาชน,เบอร์ติดต่อกลับ,ประเภทการชำระเงิน,  วันเวลา เข้ามาพัก,ห้องพักเลขที่,สัญชาติ,อาชีพ,มาจากตำบล อำเภอ จังหวัด หรือประเทศใด,จะไปตำบล อำเภอ จังหวัด หรือประเทศใด,วันเวลาที่ออกไป
1,VP01146,เซาวลิต,-,-,098-7991-839,เงินสด,02 ส.ค. 68,A111,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,03 ส.ค. 68
2,VP01147,เหนือฟ้า,-,-,064-3586-160,เงินโอน QR,02 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,03 ส.ค. 68
3,VP01148,ทวีศักดิ์,-,-,082-8389-843,เงินโอน QR,02 ส.ค. 68,B105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,03 ส.ค. 68
4,VP01149,สุริยันห์  ยิ่งลาท,-,-,092-5202-651,เงินสด,03 ส.ค. 68,B106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,04 ส.ค. 68
5,VP01150,วีระยุทธ  วีระกร,-,-,064-5919-705,เงินสด,03 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,04 ส.ค. 68
6,VP01151,ดวงฤดี ธนพรรัชต์,-,-,092-8067-515,เงินสด,03 ส.ค. 68,A106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,04 ส.ค. 68
7,VP01152,ณัฐวุฒิ โพธิ์สว่าง,-,-,088-5605-004,เงินโอน QR,03 ส.ค. 68,B106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,04 ส.ค. 68
8,VP01153,อภิชาติ,-,-,082-2474-822,เงินสด,03 ส.ค. 68,N3,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,04 ส.ค. 68
9,VP01154,วุฒิชัย เศษรักษา,-,-,098-6460-740,เงินโอน QR,04 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
10,VP01155,ชัชพล หลวงชา,-,-,091-8673-787,เงินโอน QR,04 ส.ค. 68,A101,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
11,VP01156,คุณปอนด์,-,-,06-2414-378,เงินโอน QR,04 ส.ค. 68,B102,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
12,VP01157,เพลง,-,-,081-9524-051,เงินสด,04 ส.ค. 68,A106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
13,VP01158,โสภณ,-,-,083-7257-244,เงินโอน QR,04 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
14,VP01159,บริษัท โชวี่,-,-,081-7369-113,เงินโอน QR,04 ส.ค. 68,A104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
15,VP01160,คุณส้ม,-,-,065-9208-391,เงินสด,04 ส.ค. 68,N7,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
16,VP01161,เต้,-,-,088-2744-477,เงินสด,04 ส.ค. 68,B108,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,05 ส.ค. 68
17,VP01162,อธิวัฒน์ ยาทองไชย,-,-,063-5250-916,เงินสด,05 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,06 ส.ค. 68
18,VP01163,พัชรินทร์,-,-,080-2104-363,เงินโอน QR,05 ส.ค. 68,B109,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,06 ส.ค. 68
19,VP01164,ราชสีมา,-,-,-,เงินสด,05 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,06 ส.ค. 68
20,VP01165,กำธร โพธิ์เสน,-,-,089-5305-462,เงินโอน QR,05 ส.ค. 68,B105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,06 ส.ค. 68
21,VP01166,คุณเป๊ก,-,-,065-1193-844,เงินโอน QR,06 ส.ค. 68,A103,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,07 ส.ค. 68
22,VP01167,พิชิตชัย,-,-,080-0138-270,เงินโอน QR,06 ส.ค. 68,N7,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,07 ส.ค. 68
23,VP01168,คุณ พีระ ตรีบวรกุศล,-,-,085-6672-260,เงินสด,06 ส.ค. 68,A106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,07 ส.ค. 68
24,VP01169,บรรเจิด หอยทอง,-,-,081-4410-591,เงินโอน QR,06 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,07 ส.ค. 68
25,VP01170,สมภพ โชติวงษ์,-,-,089-2087-259,เงินโอน QR,07 ส.ค. 68,A104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,08 ส.ค. 68
26,VP01171,คุณสุพัตรา,-,-,099-4526-649,เงินสด,07 ส.ค. 68,B106,ไทย,รับจ้าง,ปากคาด,บึงกาฬ,08 ส.ค. 68
27,VP01172,ลุงเลียม,-,-,088-7479-892,เงินสด,07 ส.ค. 68,A105,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,08 ส.ค. 68
28,VP01173,วิชิต,-,-,093-1011-156,เงินสด,07 ส.ค. 68,B101,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,08 ส.ค. 68
29,VP01174,น้องฟ้า,-,-,080-1805-376,เงินโอน QR,07 ส.ค. 68,B109,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,08 ส.ค. 68
30,VP01175,ธีรพงษ์,-,-,080-4651-451,เงินสด,08 ส.ค. 68,B110,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,09 ส.ค. 68
31,VP01176,คมกริช กุหลาบขาว,-,-,-,เงินโอน QR,08 ส.ค. 68,A105,ไทย,รับจ้าง,กทม,บึงกาฬ,09 ส.ค. 68
32,VP01177,คุณวัน,-,-,-,เงินโอน QR,08 ส.ค. 68,A107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,09 ส.ค. 68
33,VP01178,สำเริง เดือนคล้อย,-,-,089-2542-788,เงินโอน QR,08 ส.ค. 68,A106,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,09 ส.ค. 68
34,VP01179,จิณิพงษ์ ละการชั่ว,-,-,080-2454-323,เงินสด,09 ส.ค. 68,A104,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,10 ส.ค. 68
35,VP01180,ธาราวุธ,-,-,082-2698-388,เงินโอน QR,09 ส.ค. 68,B103,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,10 ส.ค. 68
36,VP01181,จีระเดช แข็งขัน,-,-,064-0100-598,เงินโอน QR,09 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,10 ส.ค. 68
37,VP01182,นายวิทยา ชัยระเทศ,-,-,064-9929-890,เงินสด,09 ส.ค. 68,B107,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,10 ส.ค. 68
38,VP01183,ชญานิศ ชินใหม่,-,-,063-0290-136,เงินสด,09 ส.ค. 68,B109,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,10 ส.ค. 68
39,VP01184,สุกัญญา,-,-,096-5306-618,เงินสด,09 ส.ค. 68,B104,ไทย,รับจ้าง,นครปฐม,บึงกาฬ,10 ส.ค. 68
40,VP01185,ชัยศักดิ์ อัดตละ,-,-,089-3977-374,เงินโอน QR,09 ส.ค. 68,B106,ไทย,รับจ้าง,นนทบุรี,บึงกาฬ,10 ส.ค. 68
41,VP01186,ภณัชกร,-,-,099-6864-837,เงินสด,09 ส.ค. 68,N2,ไทย,รับจ้าง,บึงกาฬ,บึงกาฬ,10 ส.ค. 68
42,VP01187,ต่าย,-,-,094-4824-955,เงินโอน QR,09 ส.ค. 68,A106,ไทย,รับจ้าง,อุดรธานี,บึงกาฬ,10 ส.ค. 68
